root@juno:~/# docker ps
CONTAINER ID   IMAGE     COMMAND   CREATED   STATUS    PORTS     NAMES
root@juno:/srv# docker images
REPOSITORY                                             TAG              IMAGE ID       CREATED         SIZE
changyuan/slurm-docker-cluster                         21.08.6.8        394597998574   2 months ago    1.39GB
changyuan/slurm-docker-cluster                         21.08.6.7        db44af2a76fc   2 months ago    1.39GB
changyuan/slurm-docker-cluster                         21.08.6.6        e07716406c09   2 months ago    1.39GB
changyuan/slurm-docker-cluster                         21.08.6.5        270acc8eafc1   2 months ago    1.22GB
test                                                   latest           270acc8eafc1   2 months ago    1.22GB
changyuan/slurm-docker-cluster                         21.08.6.4        e2d44eca40e7   2 months ago    1.14GB
changyuan/slurm-docker-cluster                         21.08.6.3        e5de0f8f1720   2 months ago    1.14GB
changyuan/slurm-docker-cluster                         21.08.6.2        1aa3ec5371ce   2 months ago    1.14GB
changyuan/slurm-docker-cluster                         21.08.6.1        97e340afae02   2 months ago    1.14GB
changyuan/slurmtest                                    latest           14b7d2e7ea78   2 months ago    1.14GB
slurmtest                                              latest           14b7d2e7ea78   2 months ago    1.14GB
changyuan/slurm                                        latest           09870a3c9b14   3 months ago    300MB
slurm                                                  latest           09870a3c9b14   3 months ago    300MB
changyuan/slurm                                        <none>           003d08bfa4d9   3 months ago    300MB
changyuan/slurm-docker-cluster                         21.08.6          20b26816ebdf   3 months ago    1.14GB
slurm-docker-cluster                                   21.08.6          20b26816ebdf   3 months ago    1.14GB
mariadb                                                10.10            f26d60989f8a   3 months ago    403MB
<none>                                                 <none>           53b684948f7c   3 months ago    2.34GB
openai-portal                                          v4.2.7           3e571312c530   3 months ago    25.1MB
<none>                                                 <none>           b9474f71db19   3 months ago    1.28GB
admin-portal                                           v4.2.7           24df11f992c7   3 months ago    25MB
<none>                                                 <none>           52f66ae3d4d2   3 months ago    1.31GB
scheduler                                              v4.2.7           f8d591aa8be7   3 months ago    108MB
<none>                                                 <none>           0842eb08edb4   3 months ago    1.8GB
vc-controller                                          v4.2.7           23b23748eb12   3 months ago    92.9MB
<none>                                                 <none>           f3a43987ddd9   3 months ago    1.52GB
